iter	Logloss
0	0.670545148
1	0.6439118377
2	0.6232064783
3	0.6029263864
4	0.5898627621
5	0.5834222294
6	0.5716725383
7	0.5612006298
8	0.5509968614
9	0.5458341725
10	0.5426000608
11	0.533110312
12	0.5287972405
13	0.5259950629
14	0.5201247274
15	0.516238743
16	0.5108226516
17	0.5085952602
18	0.5021694514
19	0.4979526503
20	0.4961035623
21	0.4921261065
22	0.49059817
23	0.4876203468
24	0.4853366808
25	0.4825981629
26	0.4781044062
27	0.4771706072
28	0.4753874517
29	0.4711033792
30	0.4669974061
31	0.4669974058
32	0.4631959946
33	0.4615101046
34	0.4568299205
35	0.4558040839
36	0.450012172
37	0.4491848863
38	0.4490840547
39	0.4483443294
40	0.4477742937
41	0.4477706459
42	0.4471553928
43	0.4471538179
44	0.447145872
45	0.4456769793
46	0.4426499595
47	0.4422869023
48	0.4421222295
49	0.4415973031
50	0.4415951923
51	0.4394616131
52	0.4390071021
53	0.4385825212
54	0.4376220728
55	0.4323989654
56	0.4323964662
57	0.431666818
58	0.4311073998
59	0.4308332942
60	0.4274676516
61	0.4260859901
62	0.4255879429
63	0.421623595
64	0.421616897
65	0.4208288073
66	0.420732459
67	0.4205388591
68	0.4205335912
69	0.4205288261
70	0.4205239384
71	0.420520067
72	0.4203201979
73	0.4203170949
74	0.4196414733
75	0.4196389297
76	0.4192407687
77	0.4186402268
78	0.4180116936
79	0.417796487
80	0.4152388647
81	0.4147662322
82	0.4147595825
83	0.4126484066
84	0.4115693299
85	0.4101743937
86	0.4099539182
87	0.409951098
88	0.4094274569
89	0.4093132983
90	0.4076099548
91	0.4076083541
92	0.406189759
93	0.4032231278
94	0.4030814029
95	0.4027949806
96	0.4026506457
97	0.4025505229
98	0.4025441793
99	0.4022262094
100	0.4017401483
101	0.4011054353
102	0.3997328235
103	0.3991634928
104	0.3959279499
105	0.394610122
106	0.3946057178
107	0.3935522762
108	0.3934758768
109	0.3919238425
110	0.3919198642
111	0.3911921636
112	0.3911887231
113	0.3893006959
114	0.3892971345
115	0.3892554701
116	0.389252593
117	0.3891920142
118	0.387955813
119	0.3878375125
120	0.3876654184
121	0.387532856
122	0.3869101802
123	0.3861960089
124	0.3861941083
125	0.3860982032
126	0.386071062
127	0.3857624518
128	0.3849602665
129	0.3849067132
130	0.3847652302
131	0.3820879649
132	0.3817804205
133	0.3817790371
134	0.3815594502
135	0.381437361
136	0.3804183289
137	0.3802364538
138	0.3792405385
139	0.3791536393
140	0.3791159173
141	0.3787214205
142	0.3784439559
143	0.3783716876
144	0.3777027372
145	0.3768998172
146	0.3742147846
147	0.3740503845
148	0.3721166381
149	0.3713001341
150	0.3712988246
151	0.3712965333
152	0.3707669045
153	0.3706857642
154	0.3706156653
155	0.3690794936
156	0.3690782572
157	0.3679008874
158	0.3676157523
159	0.3671852739
160	0.3664572698
161	0.3664111491
162	0.3664103481
163	0.3644977636
164	0.3644593757
165	0.3630547802
166	0.3606832984
167	0.3606816735
168	0.3582136662
169	0.3571123879
170	0.3523864779
171	0.3523822592
172	0.3522905253
173	0.3492096941
174	0.3489425692
175	0.3470028598
176	0.3456087116
177	0.3444655209
178	0.3444448221
179	0.3441940981
180	0.3424984603
181	0.3424405383
182	0.3424365364
183	0.3422881644
184	0.3421866539
185	0.3421839232
186	0.342065275
187	0.3414622549
188	0.3394817085
189	0.3393608872
190	0.3392750187
191	0.3334414672
192	0.33045546
193	0.3304008565
194	0.3281217502
195	0.32604729
196	0.3260391564
197	0.3233722538
198	0.3226768103
199	0.3226638921
200	0.3200457412
201	0.3200151686
202	0.3159591821
203	0.3159497267
204	0.3132905367
205	0.3104084524
206	0.3074318286
207	0.3073952094
208	0.3060382071
209	0.3046923304
210	0.3034304022
211	0.3002525483
212	0.2974171877
213	0.2950803245
214	0.2932754438
215	0.2913381496
216	0.2894064035
217	0.2876759974
218	0.2868810854
219	0.2843609115
220	0.2824660715
221	0.2800244866
222	0.2783660079
223	0.2761170708
224	0.274277587
225	0.2721261385
226	0.2703491425
227	0.2680078358
228	0.26671581
229	0.264721174
230	0.2620107785
231	0.2599573717
232	0.2580722078
233	0.2565264615
234	0.2553399264
235	0.2540655292
236	0.2525551774
237	0.2512242494
238	0.249705317
239	0.2470142067
240	0.2456650956
241	0.244353212
242	0.2430060225
243	0.2401177146
244	0.2387652163
245	0.2376421503
246	0.2364400573
247	0.2351489181
248	0.2338094756
249	0.2329419402
250	0.2307686738
251	0.2291344654
252	0.228352936
253	0.227266432
254	0.2259936101
255	0.2247170343
256	0.2232109135
257	0.2220746964
258	0.2205624818
259	0.2193370094
260	0.217325414
261	0.2160536653
262	0.2152045365
263	0.2142127706
264	0.213105611
265	0.2116627379
266	0.2111896328
267	0.2095529357
268	0.2081294253
269	0.2068636732
270	0.205979465
271	0.2052890473
272	0.203898257
273	0.202869513
274	0.202356568
275	0.2015695779
276	0.2009672148
277	0.200276942
278	0.1995978572
279	0.1991033343
280	0.1978316783
281	0.1970490012
282	0.1963764565
283	0.1952923363
284	0.1946126755
285	0.1939875296
286	0.1927579623
287	0.191337399
288	0.1903802861
289	0.1885744491
290	0.186730045
291	0.1857164522
292	0.1838610894
293	0.1831768875
294	0.1826184078
295	0.1818041665
296	0.1809614618
297	0.1805414812
298	0.1801246478
299	0.1795156311
