iter	Passed	Remaining
0	161	48385
1	179	26780
2	194	19248
3	212	15716
4	228	13478
5	236	11609
6	250	10504
7	267	9766
8	285	9233
9	297	8640
10	306	8052
11	324	7791
12	340	7507
13	351	7175
14	366	6967
15	382	6797
16	394	6565
17	402	6310
18	422	6254
19	434	6079
20	442	5885
21	460	5818
22	469	5652
23	477	5496
24	491	5406
25	501	5286
26	516	5226
27	525	5106
28	536	5009
29	564	5077
30	578	5018
31	584	4898
32	600	4855
33	615	4817
34	633	4795
35	645	4731
36	663	4713
37	672	4635
38	682	4570
39	694	4515
40	708	4478
41	718	4412
42	731	4370
43	737	4289
44	745	4224
45	756	4178
46	776	4180
47	784	4121
48	796	4077
49	807	4035
50	813	3970
51	833	3972
52	844	3934
53	852	3883
54	864	3849
55	882	3846
56	889	3790
57	907	3786
58	919	3754
59	928	3712
60	945	3704
61	962	3695
62	973	3663
63	991	3657
64	998	3608
65	1009	3579
66	1018	3542
67	1027	3504
68	1033	3461
69	1042	3426
70	1051	3391
71	1057	3349
72	1066	3316
73	1072	3276
74	1090	3271
75	1096	3231
76	1111	3217
77	1124	3199
78	1140	3189
79	1149	3159
80	1167	3157
81	1178	3134
82	1187	3103
83	1200	3087
84	1219	3085
85	1235	3074
86	1249	3058
87	1255	3024
88	1268	3006
89	1276	2978
90	1295	2976
91	1302	2944
92	1320	2938
93	1338	2932
94	1347	2908
95	1359	2889
96	1368	2863
97	1377	2840
98	1386	2814
99	1396	2793
100	1409	2777
101	1426	2769
102	1445	2764
103	1456	2745
104	1474	2738
105	1488	2724
106	1495	2697
107	1510	2684
108	1518	2661
109	1536	2654
110	1542	2627
111	1560	2619
112	1567	2593
113	1585	2586
114	1591	2560
115	1603	2542
116	1609	2517
117	1619	2497
118	1638	2491
119	1648	2473
120	1660	2456
121	1672	2439
122	1685	2425
123	1698	2411
124	1705	2387
125	1715	2369
126	1728	2354
127	1739	2337
128	1754	2325
129	1765	2309
130	1775	2290
131	1794	2284
132	1812	2275
133	1818	2252
134	1835	2243
135	1846	2227
136	1864	2218
137	1873	2198
138	1885	2184
139	1902	2173
140	1910	2154
141	1925	2142
142	1941	2131
143	1950	2112
144	1963	2099
145	1981	2090
146	1999	2081
147	2015	2069
148	2034	2061
149	2051	2051
150	2058	2030
151	2068	2013
152	2085	2003
153	2093	1984
154	2104	1968
155	2122	1959
156	2129	1939
157	2147	1930
158	2165	1919
159	2183	1910
160	2198	1898
161	2208	1881
162	2215	1862
163	2232	1851
164	2240	1833
165	2259	1823
166	2276	1813
167	2284	1794
168	2304	1785
169	2322	1776
170	2341	1766
171	2347	1746
172	2358	1731
173	2376	1721
174	2388	1706
175	2406	1695
176	2425	1685
177	2441	1673
178	2453	1658
179	2468	1645
180	2488	1636
181	2498	1619
182	2507	1603
183	2523	1591
184	2533	1574
185	2540	1556
186	2555	1544
187	2569	1530
188	2588	1520
189	2600	1505
190	2616	1493
191	2636	1483
192	2655	1472
193	2667	1457
194	2685	1446
195	2705	1435
196	2713	1418
197	2731	1407
198	2745	1393
199	2754	1377
200	2772	1365
201	2783	1350
202	2805	1340
203	2812	1323
204	2834	1313
205	2856	1303
206	2880	1294
207	2890	1278
208	2910	1267
209	2930	1256
210	2950	1244
211	2971	1233
212	2993	1222
213	3015	1211
214	3037	1200
215	3058	1189
216	3078	1177
217	3098	1165
218	3117	1153
219	3136	1140
220	3155	1127
221	3175	1115
222	3194	1102
223	3213	1090
224	3231	1077
225	3249	1063
226	3267	1050
227	3286	1037
228	3304	1024
229	3326	1012
230	3345	999
231	3364	986
232	3382	972
233	3401	959
234	3420	946
235	3438	932
236	3457	919
237	3475	905
238	3494	892
239	3513	878
240	3531	864
241	3549	850
242	3568	836
243	3586	823
244	3605	809
245	3623	795
246	3641	781
247	3660	767
248	3680	753
249	3698	739
250	3716	725
251	3737	711
252	3755	697
253	3773	683
254	3792	669
255	3811	655
256	3831	641
257	3849	626
258	3868	612
259	3887	598
260	3905	583
261	3934	570
262	3953	556
263	3971	541
264	3989	526
265	4007	512
266	4027	497
267	4047	483
268	4066	468
269	4084	453
270	4104	439
271	4122	424
272	4141	409
273	4160	394
274	4178	379
275	4195	364
276	4214	349
277	4232	334
278	4251	319
279	4270	305
280	4288	289
281	4306	274
282	4326	259
283	4344	244
284	4363	229
285	4382	214
286	4400	199
287	4419	184
288	4437	168
289	4456	153
290	4474	138
291	4492	123
292	4511	107
293	4530	92
294	4548	77
295	4567	61
296	4586	46
297	4606	30
298	4624	15
299	4643	0
